epochs,batch_size,learning_rate,optimizer,final_loss,final_accuuracy,loss,accuracy,val_loss,val_accuracy,history
30,16,0.001,Adam,1.9945240020751953,0.09375,0.03152346611022949,0.9963235259056091,1.9945238828659058,0.09375,<keras.callbacks.History object at 0x0000015BAB7B8970>
30,16,0.001,SGD,0.9353865385055542,0.796875,0.5978083610534668,0.9595588445663452,0.935386598110199,0.796875,<keras.callbacks.History object at 0x0000015BA78508E0>
30,16,0.0001,Adam,0.20466333627700806,0.9375,0.005025694612413645,1.0,0.20466333627700806,0.9375,<keras.callbacks.History object at 0x0000015BC27D9540>
30,16,0.0001,SGD,1.392614483833313,0.234375,1.2847710847854614,0.4779411852359772,1.3926146030426025,0.234375,<keras.callbacks.History object at 0x0000015BF647E8C0>
30,32,0.001,Adam,0.872607409954071,0.75,0.012705735862255096,0.9963235259056091,0.8726074695587158,0.75,<keras.callbacks.History object at 0x0000015C6FACA0B0>
30,32,0.001,SGD,1.2136256694793701,0.609375,0.8506587743759155,0.8676470518112183,1.2136256694793701,0.609375,<keras.callbacks.History object at 0x0000015C7D41CF70>
30,32,0.0001,Adam,0.1881064921617508,0.953125,0.0028094446752220392,1.0,0.188106507062912,0.953125,<keras.callbacks.History object at 0x0000015C83B71900>
30,32,0.0001,SGD,1.3386754989624023,0.390625,1.3214768171310425,0.3602941036224365,1.338675618171692,0.390625,<keras.callbacks.History object at 0x0000015D22634CD0>
50,16,0.001,Adam,0.3354222774505615,0.9375,0.003991703502833843,1.0,0.3354222774505615,0.9375,<keras.callbacks.History object at 0x0000015D2ACE05B0>
50,16,0.001,SGD,1.276094913482666,0.46875,0.28718331456184387,0.9816176295280457,1.276094913482666,0.46875,<keras.callbacks.History object at 0x0000015D3A5B8B50>
50,16,0.0001,Adam,0.11964726448059082,0.96875,0.0035219418350607157,1.0,0.11964727193117142,0.96875,<keras.callbacks.History object at 0x0000015D42A8EBC0>
50,16,0.0001,SGD,1.3722865581512451,0.375,1.2965267896652222,0.44117647409439087,1.3722865581512451,0.375,<keras.callbacks.History object at 0x0000015D50344250>
50,32,0.001,Adam,18.904598236083984,0.25,0.00769250001758337,1.0,18.904598236083984,0.25,<keras.callbacks.History object at 0x0000015D5A909420>
50,32,0.001,SGD,0.9230743050575256,0.8125,0.6013026237487793,0.9522058963775635,0.9230743050575256,0.8125,<keras.callbacks.History object at 0x0000015D6A28D840>
50,32,0.0001,Adam,0.15811461210250854,0.953125,0.005044248886406422,1.0,0.15811461210250854,0.953125,<keras.callbacks.History object at 0x0000015D730D8310>
50,32,0.0001,SGD,1.4335346221923828,0.203125,1.3192955255508423,0.39338234066963196,1.4335346221923828,0.203125,<keras.callbacks.History object at 0x0000015D1806B5E0>
